COSERID	ca	casa	total	percentage_ca	Village	Province	Nombre	longitude	latitude
3624	0	2	2	0	Agallas	Salamanca	Agallas, Salamanca, España	-6.4416864	40.4484605
3701	0	1	1	0	Anaya	Segovia	Anaya, Segovia, España	-4.3102879	40.9943147
3712	1	4	5	20	Santiuste de San Juan Bautista 	Segovia	Santiuste de San Juan Bautista , Segovia, España	-4.57147	41.1564838
3806	7	1	8	87.5	Almaden de la Plata	Sevilla	Almaden de la Plata, Sevilla, España	-6.0815246	37.8730224
3809	4	0	4	100	Alanís	Sevilla 	Alanís, Sevilla , España	-5.7135299	38.037553
3814	1	0	1	100	Constantina  	Sevilla 	Constantina  , Sevilla , España	-5.6037465	37.887709
3901	2	1	3	66.66666666666666	Almajano	Soria	Almajano, Soria, España	-2.3388044	41.8506238
3923	0	1	1	0	Aguaviva de la Vega (Almaluez)	Soria	Aguaviva de la Vega (Almaluez), Soria, España	-2.3819792	41.2933061
3924	0	2	2	0	Beraton	Soria	Beraton, Soria, España	-1.8117232	41.7171744
4117	0	4	4	0	Fuentes Claras	Teruel	Fuentes Claras, Teruel, España	-1.3198112	40.8633848
4128	0	1	1	0	Perales de Alfambra	Teruel	Perales de Alfambra, Teruel, España	-1.0017879	40.6347987
4206	0	4	4	0	Caleruela	Toledo	Caleruela, Toledo, España	-5.2560383	39.874597
4214	1	0	1	100	La Nava de Ricomalillo	Toledo	La Nava de Ricomalillo, Toledo, España	-4.9870491	39.6378497
4218	8	3	11	72.72727272727273	Los Navalmorales	Toledo	Los Navalmorales, Toledo, España	-4.641160699999999	39.7255072
4230	2	0	2	100	Tembleque	Toledo	Tembleque, Toledo, España	-3.5041358	39.6958069
4306	1	0	1	100	Benimodo	Valencia	Benimodo, Valencia, España	-0.5246008	39.216888
4310	2	2	4	50	Enguera	Valencia	Enguera, Valencia, España	-0.810357	38.9640047
4419	0	2	2	0	Velascalvaro 	Valladolid	Velascalvaro , Valladolid, España	-4.9727563	41.23017309999999
4421	0	2	2	0	Villalba de la Loma	Valladolid	Villalba de la Loma, Valladolid, España	-5.190790499999999	42.17513779999999
4501	0	3	3	0	Aulesti	Vizcaya	Aulesti, Vizcaya, España	-2.5619215	43.29725639999999
4504	0	2	2	0	Errigoiti	Vizcaya	Errigoiti, Vizcaya, España	-2.7249358	43.318613
